Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Stat Total,Cluster_KMeans,Archetype
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,3,Balanced/Mixed
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,0,Fast Sweepers
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,2,Special Cannons
4,Charmander,Fire,,39,52,43,60,50,65,309,3,Balanced/Mixed
5,Charmeleon,Fire,,58,64,58,80,65,80,405,0,Fast Sweepers
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,2,Special Cannons
7,Squirtle,Water,,44,48,65,50,64,43,314,3,Balanced/Mixed
8,Wartortle,Water,,59,63,80,65,80,58,405,5,Balanced/Mixed
9,Blastoise,Water,,79,83,100,85,105,78,530,2,Special Cannons
10,Caterpie,Bug,,45,30,35,20,20,45,195,3,Balanced/Mixed
11,Metapod,Bug,,50,20,55,25,25,30,205,3,Balanced/Mixed
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,0,Fast Sweepers
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,3,Balanced/Mixed
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,3,Balanced/Mixed
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,0,Fast Sweepers
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,3,Balanced/Mixed
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,3,Balanced/Mixed
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,0,Fast Sweepers
19,Rattata,Normal,,30,56,35,25,35,72,253,3,Balanced/Mixed
20,Raticate,Normal,,55,81,60,50,70,97,413,0,Fast Sweepers
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,3,Balanced/Mixed
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,0,Fast Sweepers
23,Ekans,Poison,,35,60,44,40,54,55,288,3,Balanced/Mixed
24,Arbok,Poison,,60,95,69,65,79,80,448,0,Fast Sweepers
25,Pikachu,Electric,,35,55,40,50,50,90,320,3,Balanced/Mixed
26,Raichu,Electric,,60,90,55,90,80,110,485,0,Fast Sweepers
27,Sandshrew,Ground,,50,75,85,20,30,40,300,3,Balanced/Mixed
28,Sandslash,Ground,,75,100,110,45,55,65,450,4,Bulky Tanks
29,Nidoran♀,Poison,,55,47,52,40,40,41,275,3,Balanced/Mixed
30,Nidorina,Poison,,70,62,67,55,55,56,365,3,Balanced/Mixed
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1,Physical Bruisers
32,Nidoran♂,Poison,,46,57,40,40,40,50,273,3,Balanced/Mixed
33,Nidorino,Poison,,61,72,57,55,55,65,365,3,Balanced/Mixed
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1,Physical Bruisers
35,Clefairy,Fairy,,70,45,48,60,65,35,323,3,Balanced/Mixed
36,Clefable,Fairy,,95,70,73,95,90,60,483,2,Special Cannons
37,Vulpix,Fire,,38,41,40,50,65,65,299,3,Balanced/Mixed
38,Ninetales,Fire,,73,76,75,81,100,100,505,2,Special Cannons
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,3,Balanced/Mixed
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,0,Fast Sweepers
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,3,Balanced/Mixed
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,0,Fast Sweepers
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,3,Balanced/Mixed
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,0,Fast Sweepers
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,2,Special Cannons
46,Paras,Bug,Grass,35,70,55,45,55,25,285,3,Balanced/Mixed
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,5,Balanced/Mixed
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,3,Balanced/Mixed
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,0,Fast Sweepers
50,Diglett,Ground,,10,55,25,35,45,95,265,3,Balanced/Mixed
51,Dugtrio,Ground,,35,100,50,50,70,120,425,0,Fast Sweepers
52,Meowth,Normal,,40,45,35,40,40,90,290,3,Balanced/Mixed
53,Persian,Normal,,65,70,60,65,65,115,440,0,Fast Sweepers
54,Psyduck,Water,,50,52,48,65,50,55,320,3,Balanced/Mixed
55,Golduck,Water,,80,82,78,95,80,85,500,0,Fast Sweepers
56,Mankey,Fighting,,40,80,35,35,45,70,305,3,Balanced/Mixed
57,Primeape,Fighting,,65,105,60,60,70,95,455,1,Physical Bruisers
58,Growlithe,Fire,,55,70,45,70,50,60,350,3,Balanced/Mixed
59,Arcanine,Fire,,90,110,80,100,80,95,555,1,Physical Bruisers
60,Poliwag,Water,,40,50,40,40,40,90,300,3,Balanced/Mixed
61,Poliwhirl,Water,,65,65,65,50,50,90,385,0,Fast Sweepers
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1,Physical Bruisers
63,Abra,Psychic,,25,20,15,105,55,90,310,3,Balanced/Mixed
64,Kadabra,Psychic,,40,35,30,120,70,105,400,0,Fast Sweepers
65,Alakazam,Psychic,,55,50,45,135,95,120,500,2,Special Cannons
66,Machop,Fighting,,70,80,50,35,35,35,305,3,Balanced/Mixed
67,Machoke,Fighting,,80,100,70,50,60,45,405,1,Physical Bruisers
68,Machamp,Fighting,,90,130,80,65,85,55,505,1,Physical Bruisers
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,3,Balanced/Mixed
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,0,Fast Sweepers
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,0,Fast Sweepers
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,3,Balanced/Mixed
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,2,Special Cannons
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,4,Bulky Tanks
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,4,Bulky Tanks
76,Golem,Rock,Ground,80,120,130,55,65,45,495,4,Bulky Tanks
77,Ponyta,Fire,,50,85,55,65,65,90,410,0,Fast Sweepers
78,Rapidash,Fire,,65,100,70,80,80,105,500,0,Fast Sweepers
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,3,Balanced/Mixed
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,5,Balanced/Mixed
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,3,Balanced/Mixed
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,2,Special Cannons
83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,0,Fast Sweepers
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,3,Balanced/Mixed
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,1,Physical Bruisers
86,Seel,Water,,65,45,55,45,70,45,325,3,Balanced/Mixed
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,0,Fast Sweepers
88,Grimer,Poison,,80,80,50,40,50,25,325,3,Balanced/Mixed
89,Muk,Poison,,105,105,75,65,100,50,500,1,Physical Bruisers
90,Shellder,Water,,30,65,100,45,25,40,305,4,Bulky Tanks
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,4,Bulky Tanks
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,3,Balanced/Mixed
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,0,Fast Sweepers
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,2,Special Cannons
95,Onix,Rock,Ground,35,45,160,30,45,70,385,4,Bulky Tanks
96,Drowzee,Psychic,,60,48,45,43,90,42,328,3,Balanced/Mixed
97,Hypno,Psychic,,85,73,70,73,115,67,483,2,Special Cannons
98,Krabby,Water,,30,105,90,25,25,50,325,4,Bulky Tanks
99,Kingler,Water,,55,130,115,50,50,75,475,4,Bulky Tanks
100,Voltorb,Electric,,40,30,50,55,55,100,330,3,Balanced/Mixed
101,Electrode,Electric,,60,50,70,80,80,150,490,0,Fast Sweepers
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,3,Balanced/Mixed
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,2,Special Cannons
104,Cubone,Ground,,50,50,95,40,50,35,320,3,Balanced/Mixed
105,Marowak,Ground,,60,80,110,50,80,45,425,5,Balanced/Mixed
106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,1,Physical Bruisers
107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,1,Physical Bruisers
108,Lickitung,Normal,,90,55,75,60,75,30,385,5,Balanced/Mixed
109,Koffing,Poison,,40,65,95,60,45,35,340,3,Balanced/Mixed
